Item Name,Discription,Quantity,Unit Price,Total Pirce,URL,Total with tax
120mm Fan,Cooling fan for radiator,2,$9.89,$19.78,https://www.amazon.ca/gp/product/B002YFP8BK/ref=ox_sc_act_image_5?smid=A1W36NGWLHYVQ3,$21.15
304 Stainless steel Pipe,Feed neck,1,$35.22,$35.22,https://www.amazon.ca/gp/product/B0CWY62TWC/ref=ox_sc_act_image_2?smid=A2NJO87SRDLPUU&psc=1,$39.45
6mm Steel rod,Structual support rods,1,$6.79,$6.79,https://www.amazon.ca/gp/product/B0BDZ2VSCC/ref=ox_sc_act_image_3?smid=A2U2IW4XM8RL4X&psc=1,$7.60
AC 110V - 220V TO DC,Power Supply,1,$20.95,$20.95,https://www.amazon.ca/gp/product/B010CVIWBK/ref=ewc_pr_img_1?smid=A2Z1VP11ZHYN88&psc=1,$23.46
Aluminum SSR Heatsink,Heatsink ,1,$13.49,$13.49,https://www.amazon.ca/gp/product/B07B3Y2ZNY/ref=ox_sc_act_image_8?smid=A35AFW9EVJYR0N&psc=1,$15.11
Auger Drill Bit,Feed Auger ,1,$19.45,$19.45,https://www.amazon.ca/gp/product/B0FSYZNZVQ/ref=ox_sc_act_image_12?smid=A2Y9NNYJ4PYMHW,$21.78
Copper round tube,For watercooling systum,1,$15.69,$15.69,https://www.amazon.ca/gp/product/B09MK7HR1V/ref=ox_sc_act_image_1?smid=A30WUG2ZDGM0XM&psc=1,$17.57
High Temperature Polyimide Tape,Heat shielding tape,1,$14.99,$14.99,https://www.amazon.ca/gp/product/B0D979ZV7G/ref=ox_sc_act_image_11?smid=ABKR4BJYL11O&psc=1,$16.79
IRFZ44N Mosfets,Mosfets,1,$3.11,$6.22,https://www.amazon.ca/gp/product/B07PKDV4JH/ref=ox_sc_act_image_4?smid=A14A2SS3D2OXQ9&psc=1,$6.97
MAX6675 Module,Heat sensors,2,$4.75,$9.49,https://www.amazon.ca/gp/product/B0C6QTL5Y3/ref=ox_sc_act_image_6?smid=A1VTL661FOEJB1&psc=1,$10.63
NEMA17 Stepper Motor,Stepper motors,2,$9.00,$18.00,https://www.amazon.ca/gp/product/B0B1Q4CF87/ref=ox_sc_act_image_9?smid=A2GRTMR8P2IKL2&psc=1,$20.16
Power Cord,cable to plug the psu in,1,$5.99,$5.99,https://www.amazon.ca/gp/product/B07BQCMPF2/ref=ox_sc_act_image_7?smid=A3DWYIK6Y9EEQB,$6.71
TB6600 Stepper Motor Driver,Stepper motor drivers,2,$21.36,$42.72,https://www.amazon.ca/gp/product/B07Z4YQ7CY/ref=ox_sc_act_image_10?smid=A22JVY9MHCKXI0&psc=1,$47.85
Totals,,,$180.67,$228.78,,$255.23
Cad to Usd convertion,,,,,,$187.67